Index,organism,causal_gene_name,Arabidopsis_thaliana,Glycine_max,Brassica_rapa,Solanum_lycopersicum,Oryza_sativa_Japonica,Oryza_sativa_Indica,Setaria_italica,Zea_mays,Sorghum_bicolor,Brachypodium_distachyon,Hordeum_vulgare,ortholog group,Trait,Trait_Category
1,Thlaspi_caerulescens_,heavy metal atpase3 (HMA3),"AT4G30110.1,AT4G37270.1,AT2G19110.1,AT4G33520.2,AT5G21930.1,AT5G44790.1,AT1G63440.1,AT4G30120.1","GLYMA01G42800.1,GLYMA19G32190.1,GLYMA17G06800.1,GLYMA08G07710.1,GLYMA04G05897.1,GLYMA17G18250.2,GLYMA05G21280.1,GLYMA04G05904.1,GLYMA06G05890.1,GLYMA08G19110.1,GLYMA15G17000.1,GLYMA08G09240.1,GLYMA01G42790.2,GLYMA05G24470.1,GLYMA13G00630.2GLYMA03G21650.1,GLYMA09G05710.1,GLYMA11G02661.1,GLYMA05G24520.2,GLYMA16G10760.1,GLYMA09G06166.1,GLYMA15G05891.1,GLYMA05G26330.1,GLYMA08G01680.2","Bra027573.1-P,Bra011750.1-P,Bra034566.1-P,Bra024449.1-P,Bra003110.1-P,Bra027641.1-P,Bra025102.1-P,Bra011164.1-P,Bra039194.1-P,Bra024103.1-P,Bra038842.1-P,Bra024107.1-P,Bra011165.1-P,Bra011450.1-P,Bra002374.1-P","Solyc01g105160.2.1,Solyc00g031730.1.1,Solyc08g080890.2.1,Solyc11g062120.1.1,Solyc01g105170.2.1,Solyc11g062100.1.1,Solyc02g068490.2.1,Solyc08g061610.2.1,Solyc02g092920.2.1,Solyc08g080870.2.1,Solyc07g009130.2.1","LOC_Os08g37950.1,LOC_Os06g48720.1,LOC_Os07g43040.1,LOC_Os06g47550.1,LOC_Os03g08070.1,LOC_Os07g12900.1,LOC_Os04g46940.1,LOC_Os03g27040.1,LOC_Os06g45500.1,LOC_Os02g07630.1,LOC_Os02g10290.1,","BGIOSGA016903-PA,BGIOSGA010613-PA,BGIOSGA038678-PA,BGIOSGA011343-PA,BGIOSGA007052-PA,BGIOSGA020639-PA,BGIOSGA024568-PA,BGIOSGA038704-PA,BGIOSGA020589-PA,BGIOSGA007732-PA,BGIOSGA020984-PA,BGIOSGA026167-PA,BGIOSGA028879-PA,BGIOSGA020720-PA","Si034145m,Si016209m,Si005768m,Si009257m,Si009256m,Si033111m,Si039969m,Si005860m,Si013198m,Si031369m,Si034408m,Si005738m,Si028881m,Si016225m","AC211212.4_FGP002,AC205008.4_FGP002,GRMZM2G099191,GRMZM2G175576,GRMZM2G061946,GRMZM2G029951,GRMZM2G034195,AC211645.4_FGP002,GRMZM2G010152,GRMZM2G134721,GRMZM2G102786,GRMZM2G497552,GRMZM2G493058,GRMZM2G315931,GRMZM2G383274,GRMZM5G830483,GRMZM2G000219,GRMZM2G384417,GRMZM5G855347,GRMZM2G404702,GRMZM2G143512,GRMZM2G360419,GRMZM2G030358,GRMZM2G144083,GRMZM5G874802,GRMZM5G814983,GRMZM2G455491,GRMZM2G444458,GRMZM2G079132,GRMZM2G151406,GRMZM2G398233,GRMZM2G067853,GRMZM2G035459,AC210410.3_FGP004","Sb04g004820.1,Sb06g024900.1,Sb02g006940.1,Sb10g028080.1,Sb06g024910.1,Sb07g029010.1,Sb10g028920.1,Sb01g045340.1,Sb10g029770.1,Sb02g039730.1,Sb02g006950.1,Sb01g033700.1,Sb10g026600.1,Sb04g006600.1","BRADI3G38790.1,BRADI1G72790.1,BRADI1G31987.1,BRADI1G33347.1,BRADI5G17990.1,BRADI1G34140.1,BRADI3G05340.1,BRADI1G53670.1,BRADI1G60840.1,BRADI3G07110.1,BRADI1G21380.1","MLOC_39833.1,MLOC_52795.2,MLOC_5890.1,MLOC_80218.3,MLOC_18862.4,MLOC_30801.1,MLOC_4755.1,MLOC_78645.1,MLOC_57716.1,MLOC_15393.4,MLOC_10131.1,MLOC_58244.3",KOG0207,Metal_tolerance,abiotic_stress_response
2,Annual_phlox,"flavonoid 3',5'-hydroxylase (F3'5'H)",,"GLYMA20G08160.1,GLYMA13G04210.1",,Solyc11G066580.1.1,LOC_Os03g25150,,Si035183m,GRMZM2G119067,"Sb01g034470.1,Sb01g034460.1","BRADI2G11620.1,BRADI1G61577.1",,ENOG411BNKG,Plant_coloration_(flowers),color_texture_flavor_and_fragrance
3,Annual_phlox,R2R3-Myb,AT1G66370,"GLYMA09G36983.1,GLYMA19G02980.2,GLYMA09G36966.1,GLYMA18G49690.1,GLYMA09G37010.2,GLYMA18G49670.2","Bra004162,Bra039763","Solyc10g086250.1.1,Solyc10g086260.1.1,Solyc10g086270.1.1,Solyc10g086290.1.1",,,,,,,,ENOG411BRS3,Plant_coloration_(flowers),color_texture_flavor_and_fragrance
4,Hordeum_vulgare,Waxy /GBSS,AT1G32900.1,"GLYMA07G05580.3,GLYMA10G31540.3,GLYMA16G02110.3,GLYMA20G36040.1",Bra010189.1-P,Solyc08g083320.2.1,LOC_Os06g04200.1,BGIOSGA022241-PA,Si006103m,GRMZM2G024993,Sb10g002140.1,BRADI1G50090.1,MLOC_64657.2,COG0297,Amylose_content,color_texture_flavor_and_fragrance
5,Hordeum_vulgare,"CBF2-CBF4, CBF13",,,,"Solyc03g026270.1.1,Solyc03g026280.2.1,Solyc03g124110.1.1",LOC_Os09g35020.1,BGIOSGA029416-PA,Si030869m,"GRMZM2G069082,GRMZM2G124037",Sb02g030310.1,BRADI4G35630.1,"MLOC_4956.1,MLOC_74460.1",ENOG410YK37,Cold_resistance,abiotic_stress_response
6,Hordeum_vulgare,EARLY FLOWERING 3/ EARLYMATURITY8,AT3G21320.1,"GLYMA07G01601.1,GLYMA08G21115.1","Bra001825.1-P,Bra023887.1-P,Bra031274.1-P",Solyc06g062480.2.1,,,Si021308m,AC233870.1_FGP003,Sb09g030700.1,BRADI2G14290.1,MLOC_75281.1,ENOG4111XSP,Flowering_time,development
7,Hordeum_vulgare,Flowering locus T (=HvFT=VRN3),"AT1G65480.1,AT4G20370.1","GLYMA02G07650.1,GLYMA08G47810.1,GLYMA08G47816.1,GLYMA08G47823.1,GLYMA16G04840.1,GLYMA16G26660.1,GLYMA16G26690.1,GLYMA18G53680.1,GLYMA18G53690.1,GLYMA19G28390.1",,Solyc03g063100.1.1,"LOC_Os01g11940.1_,LOC_Os06g06300.1_,LOC_Os06g06320.1","BGIOSGA022349-PA,BGIOSGA022351-PA","Si007366m,Si008120m,Si008517m","GRMZM2G051338,GRMZM2G373928","Sb03g001700.1,Sb10g003940.1",,MLOC_68576.1,COG1881,Flowering_time,development
8,Hordeum_vulgare,PRR37-like Photoperiod-H1 (Ppd-H1) ,AT5G02810.1,"GLYMA10G05520.2,GLYMA11G15580.2,GLYMA12G07861.1,GLYMA13G19871.1","Bra009565.1-P,Bra028861.1-P","Solyc04g049670.2.1,Solyc04g049680.2.1",LOC_Os07g49460.1,,Si033274m,GRMZM2G033962,,,MLOC_81154.10,COG5641,Flowering_time,development
9,Hordeum_vulgare,VRN2,"AT2G35670.1,AT4G16810.1,AT4G16845.1,AT5G51230.1","GLYMA01G41460.1,GLYMA11G03955.1",Bra021078.1-P,Solyc03g093640.2.1,"LOC_Os04g08034.1,LOC_Os09g13630.1",BGIOSGA030026-PA,"Si029239m,Si034803m","GRMZM2G058158,GRMZM2G157422",Sb02g020800.1,BRADI3G03106.2,"MLOC_64195.14,MLOC_64864.1,MLOC_71026.4",ENOG410YJ29,Flowering_time,development
10,Hordeum_vulgare,TFL1 / HvCEN,"AT2G27550.1,AT5G03840.1","GLYMA03G35250.1,GLYMA10G08340.1,GLYMA12G30940.2,GLYMA13G22030.1,GLYMA13G39360.2,GLYMA19G37890.1,GLYMA20G02845.1","Bra000506.1-P,Bra005783.1-P,Bra009508.1-P,Bra012010.1-P,Bra028815.1-P,Bra034357.1-P",Solyc09g009560.1.1,LOC_Os11g05470.1,BGIOSGA034481-PA,Si028168m,"GRMZM2G092008,GRMZM2G338454",Sb08g003210.1,BRADI4G42400.1,"MLOC_35818.3,MLOC_44160.1",KOG3346 ,Growth_determination_habit,development
